name,n,k,time,comparisons,swaps,comparisons/n,swaps/n
insert,10,1,1.7e-06,4,13,0.4,1.3
insert,20,1,1.7e-06,17,36,0.85,1.8
insert,30,1,2.2e-06,26,55,0.866667,1.83333
insert,40,1,2.6e-06,29,68,0.725,1.7
insert,50,1,3.5e-06,46,95,0.92,1.9
insert,60,1,4.2e-06,58,117,0.966667,1.95
insert,70,1,5e-06,65,134,0.928571,1.91429
insert,80,1,5.9e-06,75,154,0.9375,1.925
insert,90,1,6.6e-06,85,174,0.944444,1.93333
insert,100,1,8.1e-06,94,193,0.94,1.93
insert,110,1,9.7e-06,102,211,0.927273,1.91818
insert,120,1,1.1e-05,115,234,0.958333,1.95
insert,130,1,1.28e-05,123,252,0.946154,1.93846
insert,140,1,1.39e-05,134,273,0.957143,1.95
insert,150,1,1.7e-05,143,292,0.953333,1.94667
insert,160,1,1.71e-05,157,316,0.98125,1.975
insert,170,1,2.05e-05,160,329,0.941176,1.93529
insert,180,1,2.08e-05,167,346,0.927778,1.92222
insert,190,1,2.35e-05,182,371,0.957895,1.95263
insert,200,1,2.48e-05,194,393,0.97,1.965
insert,10,10,1.1e-06,6,15,0.6,1.5
insert,20,10,1.5e-06,15,34,0.75,1.7
insert,30,10,2e-06,25,54,0.833333,1.8
insert,40,10,2.5e-06,36,75,0.9,1.875
insert,50,10,2.9e-06,45,94,0.9,1.88
insert,60,10,3.9e-06,55,114,0.916667,1.9
insert,70,10,4.6e-06,65,134,0.928571,1.91429
insert,80,10,6.3e-06,74,153,0.925,1.9125
insert,90,10,7.3e-06,84,173,0.933333,1.92222
insert,100,10,8.2e-06,94,193,0.94,1.93
insert,110,10,9.5e-06,104,213,0.945455,1.93636
insert,120,10,9.9e-06,114,233,0.95,1.94167
insert,130,10,1.31e-05,124,253,0.953846,1.94615
insert,140,10,1.46e-05,134,273,0.957143,1.95
insert,150,10,1.5e-05,144,293,0.96,1.95333
insert,160,10,1.61e-05,154,313,0.9625,1.95625
insert,170,10,1.97e-05,163,332,0.958824,1.95294
insert,180,10,2.28e-05,173,352,0.961111,1.95556
insert,190,10,2.34e-05,183,372,0.963158,1.95789
insert,200,10,2.63e-05,193,392,0.965,1.96
insert,10,100,1.1e-06,7,16,0.7,1.6
insert,20,100,1.5e-06,16,35,0.8,1.75
insert,30,100,1.9e-06,25,54,0.833333,1.8
insert,40,100,2.7e-06,35,74,0.875,1.85
insert,50,100,3.1e-06,45,94,0.9,1.88
insert,60,100,4.1e-06,55,114,0.916667,1.9
insert,70,100,5.1e-06,64,133,0.914286,1.9
insert,80,100,5.8e-06,74,153,0.925,1.9125
insert,90,100,6.8e-06,84,173,0.933333,1.92222
insert,100,100,8e-06,94,193,0.94,1.93
insert,110,100,9.2e-06,104,213,0.945455,1.93636
insert,120,100,1.05e-05,114,233,0.95,1.94167
insert,130,100,1.22e-05,123,252,0.946154,1.93846
insert,140,100,1.41e-05,134,273,0.957143,1.95
insert,150,100,1.63e-05,144,293,0.96,1.95333
insert,160,100,1.85e-05,153,312,0.95625,1.95
insert,170,100,1.87e-05,164,333,0.964706,1.95882
insert,180,100,2.15e-05,173,352,0.961111,1.95556
insert,190,100,2.41e-05,184,373,0.968421,1.96316
insert,200,100,2.78e-05,193,392,0.965,1.96
merge,10,1,2.7e-06,24,24,2.4,2.4
merge,20,1,3e-06,62,62,3.1,3.1
merge,30,1,4.1e-06,109,109,3.63333,3.63333
merge,40,1,4.8e-06,166,166,4.15,4.15
merge,50,1,6e-06,219,219,4.38,4.38
merge,60,1,7e-06,271,271,4.51667,4.51667
merge,70,1,7.8e-06,336,336,4.8,4.8
merge,80,1,8.9e-06,407,407,5.0875,5.0875
merge,90,1,1.02e-05,476,476,5.28889,5.28889
merge,100,1,1.1e-05,528,528,5.28,5.28
merge,110,1,1.5e-05,611,611,5.55455,5.55455
merge,120,1,1.48e-05,665,665,5.54167,5.54167
merge,130,1,2.86e-05,745,745,5.73077,5.73077
merge,140,1,1.64e-05,827,827,5.90714,5.90714
merge,150,1,1.71e-05,906,906,6.04,6.04
merge,160,1,1.76e-05,958,958,5.9875,5.9875
merge,170,1,1.91e-05,1056,1056,6.21176,6.21176
merge,180,1,2.01e-05,1129,1129,6.27222,6.27222
merge,190,1,3.48e-05,1200,1200,6.31579,6.31579
merge,200,1,2.27e-05,1291,1291,6.455,6.455
merge,10,10,1.6e-06,22,22,2.2,2.2
merge,20,10,2.5e-06,64,64,3.2,3.2
merge,30,10,3.3e-06,109,109,3.63333,3.63333
merge,40,10,4.2e-06,165,165,4.125,4.125
merge,50,10,5.2e-06,221,221,4.42,4.42
merge,60,10,6.2e-06,281,281,4.68333,4.68333
